tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls
6.25653E+17,6.25652E+17,32428842,2015-07-27 13:02:46 +0000,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@parkersweb Just remember to rinse them if you can with hot water‰Û_ gets rid of the papery taste (same with aeropress filters, actually).",,,,
6.25637E+17,6.25633E+17,32428842,2015-07-27 12:00:16 +0000,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@parkersweb It's a good option, yup. If space is an issue, I've used these, too: http://t.co/uVKhU2VU5s",,,,http://www.hasbean.co.uk/collections/brewers/products/kalita-filter
4.62178E+17,,,2014-05-02 10:34:11 +0000,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Ha! Star Wars weather, how have I missed this. It's like Hoth where @JEldenBailey is: http://t.co/9B7E5bcD81 :)",,,,http://www.tomscott.com/weather/starwars/
4.62167E+17,,,2014-05-02 09:49:15 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Feels like a System of a Down day.,,,,
4.62152E+17,,,2014-05-02 08:49:48 +0000,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","I haven't wanted to switch from my iphone in a good while, but sign me up for this one: http://t.co/9h7NsD4ARg",,,,http://xkcd.com/1363/
4.57845E+17,,,2014-04-20 11:34:09 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",He is risen!,,,,
4.56936E+17,,,2014-04-17 23:23:57 +0000,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Slightly addicted to the Dresden Files, but annoyed that Harry keeps ending up shattered, punched, losing limbs etc. reminds me of Sam Spade",,,,
2.94431E+17,,,2013-01-24 13:06:04 +0000,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",Which whisky to get for burns night tomorrow?‰Û_ hmm...,,,,
2428660469,,,2009-07-02 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How I wish I spoke French: I would be working in on Web SÌ©mantique. Makes me want to read @terraces new blog piece, but I can't :(",,,,
2418994557,,,2009-07-01 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chasing copy, chasing copy, chasing copy... ooh: Shiny!",,,,
517589232,,,2007-12-20 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Just finished fighting with Vista to make my wife's Christmas present to work. What the hell would a non-technical individual have done?,,,,
517886022,,,2007-12-20 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ah, just figured out that the multimedia set of ports on my new (crap) Dell is just a glorified USB--by ""safely removing hardware"". Oops!",,,,
517893722,,,2007-12-20 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Just logged into Google Reader after moving house: 980 new items. Bloody hell.,,,,
448361132,,,2007-11-27 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Working out if New Media is compatible with some niche markets... nope, cause they don't care much. What's the answer?",,,,
434694122,,,2007-11-22 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Researching social marketing -- yawn, but wait... why is everything about Twitter?",,,,
278667342,,,2007-09-19 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I'm trying to find out how this can help with our marketing and deciding whether Twitter can help with my business...,,,,
265783352,,,2007-09-13 00:00:00 +0000,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I'm at work, being listless",,,,
265953182,,,2007-09-13 00:00:00 +0000,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>",I'm trying to find a healthy lunch!,,,,
